Subject,Task,Network,Value
sub-01,rest,Visual,0.015084257988111575
sub-01,rest,Somatomotor,-0.07521380197902913
sub-01,rest,DorsalAttention,-0.05181222811422484
sub-01,rest,VentralAttention,-0.06332468172648785
sub-01,rest,Limbic,-1.1496545151366428e-06
sub-01,rest,Frontoparietal,-0.00817180337191943
sub-01,rest,Default,0.032727731943958525
sub-02,rest,Visual,0.11667381338279828
sub-02,rest,Somatomotor,0.07358454427373202
sub-02,rest,DorsalAttention,-0.004850819743335256
sub-02,rest,VentralAttention,-0.10038505122252639
sub-02,rest,Limbic,-0.02851741519086195
sub-02,rest,Frontoparietal,-0.10814526815204839
sub-02,rest,Default,-0.12431952561258659
sub-03,rest,Visual,0.03970367093452509
sub-03,rest,Somatomotor,-0.020185689696130504
sub-03,rest,DorsalAttention,0.029214999812284755
sub-03,rest,VentralAttention,-0.006481717904269437
sub-03,rest,Limbic,4.880091697534034e-05
sub-03,rest,Frontoparietal,0.052189289241162014
sub-03,rest,Default,0.02125231589000731
sub-04,rest,Visual,-0.016224443963108518
sub-04,rest,Somatomotor,0.07799986936864134
sub-04,rest,DorsalAttention,0.14411726159284344
sub-04,rest,VentralAttention,-0.07540868673050374
sub-04,rest,Limbic,6.757488073011685e-07
sub-04,rest,Frontoparietal,-0.024881566995989507
sub-04,rest,Default,-0.04332336225959807
sub-05,rest,Visual,-0.045642284031437864
sub-05,rest,Somatomotor,-0.016466442516787166
sub-05,rest,DorsalAttention,0.025469577125816288
sub-05,rest,VentralAttention,0.019365686623960186
sub-05,rest,Limbic,-1.538519082424224e-07
sub-05,rest,Frontoparietal,0.0291594552302912
sub-05,rest,Default,0.024120462724983763
sub-06,rest,Visual,0.07807699012271375
sub-06,rest,Somatomotor,-0.014709281223508808
sub-06,rest,DorsalAttention,0.02773947240440881
sub-06,rest,VentralAttention,-0.012701785694912716
sub-06,rest,Limbic,6.4445154499865066e-06
sub-06,rest,Frontoparietal,-0.005306378736108574
sub-06,rest,Default,0.02060397463956211
sub-07,rest,Visual,0.03174427911406087
sub-07,rest,Somatomotor,0.013723599718893933
sub-07,rest,DorsalAttention,-0.003997492101222145
sub-07,rest,VentralAttention,-0.014218254256222447
sub-07,rest,Limbic,-5.6480445487809775e-08
sub-07,rest,Frontoparietal,-0.00898837587255393
sub-07,rest,Default,-0.03617840889929733
sub-08,rest,Visual,-0.1412547198117793
sub-08,rest,Somatomotor,-0.12365831548591585
sub-08,rest,DorsalAttention,-0.029579205475713428
sub-08,rest,VentralAttention,0.06578022598618527
sub-08,rest,Limbic,-4.80553066038617e-05
sub-08,rest,Frontoparietal,0.09331189657247833
sub-08,rest,Default,0.09560605022559818
sub-09,rest,Visual,0.08914208734932078
sub-09,rest,Somatomotor,-0.056391688169525715
sub-09,rest,DorsalAttention,0.00900274659789981
sub-09,rest,VentralAttention,-0.15370916412518715
sub-09,rest,Limbic,-0.011500947924250675
sub-09,rest,Frontoparietal,-0.02694968717380184
sub-09,rest,Default,0.02344620793780525
sub-10,rest,Visual,0.0288617586045792
sub-10,rest,Somatomotor,-0.02403907901655433
sub-10,rest,DorsalAttention,-0.15239695962779629
sub-10,rest,VentralAttention,0.01611018285965077
sub-10,rest,Limbic,-1.077136495494619e-07
sub-10,rest,Frontoparietal,-0.03257267399285246
sub-10,rest,Default,0.009530843888555454
sub-11,rest,Visual,0.04094012825413371
sub-11,rest,Somatomotor,-0.16605851579527867
sub-11,rest,DorsalAttention,-0.10114907706344523
sub-11,rest,VentralAttention,0.03950020362125352
sub-11,rest,Limbic,1.987518353701945e-06
sub-11,rest,Frontoparietal,0.10642598990335883
sub-11,rest,Default,-0.008558466897270712
sub-12,rest,Visual,-0.022533357215526087
sub-12,rest,Somatomotor,-0.022583518339911852
sub-12,rest,DorsalAttention,-0.04001767475996736
sub-12,rest,VentralAttention,0.005715709749941591
sub-12,rest,Limbic,-5.926391137156122e-07
sub-12,rest,Frontoparietal,-0.010202077543525728
sub-12,rest,Default,0.022481679299984805
sub-13,rest,Visual,0.03051148350531843
sub-13,rest,Somatomotor,0.02276872940733079
sub-13,rest,DorsalAttention,0.0036173750620899178
sub-13,rest,VentralAttention,-0.0031425993890731104
sub-13,rest,Limbic,4.170531872538939e-07
sub-13,rest,Frontoparietal,-0.048310710962704326
sub-13,rest,Default,-0.041723244929156154
sub-14,rest,Visual,-0.17739300275929545
sub-14,rest,Somatomotor,0.07528075664784692
sub-14,rest,DorsalAttention,-0.04817958930607095
sub-14,rest,VentralAttention,0.04063074180487582
sub-14,rest,Limbic,0.027183081975018373
sub-14,rest,Frontoparietal,0.009539848310370972
sub-14,rest,Default,0.01938830602995657
sub-15,rest,Visual,-0.08758310034130787
sub-15,rest,Somatomotor,0.029220266450935395
sub-15,rest,DorsalAttention,0.07137291336212702
sub-15,rest,VentralAttention,0.03500964849346221
sub-15,rest,Limbic,-4.201821931347264e-05
sub-15,rest,Frontoparietal,0.027954433423361336
sub-15,rest,Default,0.01711001499222955
sub-16,rest,Visual,0.09013035415512385
sub-16,rest,Somatomotor,-0.1333009365210409
sub-16,rest,DorsalAttention,-0.15165808691246638
sub-16,rest,VentralAttention,-0.0334641543322774
sub-16,rest,Limbic,-4.898272880899148e-06
sub-16,rest,Frontoparietal,-0.057273491721592594
sub-16,rest,Default,0.014322531372893068
sub-17,rest,Visual,0.08971762789173748
sub-17,rest,Somatomotor,-0.11030344556891114
sub-17,rest,DorsalAttention,0.02313188517023486
sub-17,rest,VentralAttention,-0.11560401492408595
sub-17,rest,Limbic,-0.0021629293739251604
sub-17,rest,Frontoparietal,0.041754868808832855
sub-17,rest,Default,-0.027628277669211436
sub-18,rest,Visual,0.07106918306524516
sub-18,rest,Somatomotor,-0.005597645308260342
sub-18,rest,DorsalAttention,-0.011905725547222957
sub-18,rest,VentralAttention,-0.07139603798140787
sub-18,rest,Limbic,-3.6137369571451585e-06
sub-18,rest,Frontoparietal,-0.029057256528161955
sub-18,rest,Default,-0.00528314954738051
sub-19,rest,Visual,-0.14101154518658007
sub-19,rest,Somatomotor,0.09990045801526902
sub-19,rest,DorsalAttention,0.1005901852341232
sub-19,rest,VentralAttention,0.03188721577659682
sub-19,rest,Limbic,-2.1105381026457552e-08
sub-19,rest,Frontoparietal,0.0264649613191894
sub-19,rest,Default,-0.010542059656839351
sub-20,rest,Visual,0.07735613873150153
sub-20,rest,Somatomotor,-0.004038101120647456
sub-20,rest,DorsalAttention,0.04735661793297857
sub-20,rest,VentralAttention,-0.04305686407057272
sub-20,rest,Limbic,-1.5454456088186146e-07
sub-20,rest,Frontoparietal,-0.006441408558145854
sub-20,rest,Default,-0.028936301525761446
sub-21,rest,Visual,-0.04250034998698394
sub-21,rest,Somatomotor,0.017464767015438074
sub-21,rest,DorsalAttention,0.014989064908100282
sub-21,rest,VentralAttention,-4.273113524632429e-05
sub-21,rest,Limbic,-4.317556291720139e-07
sub-21,rest,Frontoparietal,0.012379004421776986
sub-21,rest,Default,0.0039900678625961385
sub-22,rest,Visual,0.02983414410581528
sub-22,rest,Somatomotor,0.07410114645850131
sub-22,rest,DorsalAttention,-0.04921392012959093
sub-22,rest,VentralAttention,0.013737168535207008
sub-22,rest,Limbic,9.804531693330074e-07
sub-22,rest,Frontoparietal,-0.06747101555728514
sub-22,rest,Default,-0.0052198172360246485
sub-23,rest,Visual,0.09729493102202784
sub-23,rest,Somatomotor,-0.052746848557321896
sub-23,rest,DorsalAttention,0.045239279466576056
sub-23,rest,VentralAttention,-0.06899815202637392
sub-23,rest,Limbic,-0.03309371545775481
sub-23,rest,Frontoparietal,-0.012000358880999458
sub-23,rest,Default,-0.028401269272653486
sub-24,rest,Visual,-0.0410138125482418
sub-24,rest,Somatomotor,0.12178407860546596
sub-24,rest,DorsalAttention,-0.06476013997203775
sub-24,rest,VentralAttention,-0.01744373395008499
