Subject,Task,Network,Value
sub-01,rest,Visual,0.1386137967978203
sub-01,rest,Somatomotor,0.12903770357898256
sub-01,rest,DorsalAttention,0.13474242419284388
sub-01,rest,VentralAttention,0.13823185328021909
sub-01,rest,Limbic,1.1496545151366426e-06
sub-01,rest,Frontoparietal,0.09037537443080886
sub-01,rest,Default,0.09008330388737135
sub-02,rest,Visual,0.18164127190310572
sub-02,rest,Somatomotor,0.1403145477266527
sub-02,rest,DorsalAttention,0.13408296583142834
sub-02,rest,VentralAttention,0.22137459373113733
sub-02,rest,Limbic,0.0451435506661997
sub-02,rest,Frontoparietal,0.128968749011725
sub-02,rest,Default,0.1355934144582176
sub-03,rest,Visual,0.11993771501054237
sub-03,rest,Somatomotor,0.16627389110965313
sub-03,rest,DorsalAttention,0.15195071979142855
sub-03,rest,VentralAttention,0.20087283092898628
sub-03,rest,Limbic,0.0001402590520148974
sub-03,rest,Frontoparietal,0.14614831418723198
sub-03,rest,Default,0.11318064449076166
sub-04,rest,Visual,0.11248536664897131
sub-04,rest,Somatomotor,0.1709602223018432
sub-04,rest,DorsalAttention,0.14949190798973913
sub-04,rest,VentralAttention,0.14819249004116752
sub-04,rest,Limbic,6.757488073011685e-07
sub-04,rest,Frontoparietal,0.1040169293362881
sub-04,rest,Default,0.08803397076240577
sub-05,rest,Visual,0.17916127655367325
sub-05,rest,Somatomotor,0.17025823320139793
sub-05,rest,DorsalAttention,0.1816424125687976
sub-05,rest,VentralAttention,0.11074829241331843
sub-05,rest,Limbic,1.5385190824242242e-07
sub-05,rest,Frontoparietal,0.09550740682743096
sub-05,rest,Default,0.08665156081413618
sub-06,rest,Visual,0.1460732674855287
sub-06,rest,Somatomotor,0.18845843194833795
sub-06,rest,DorsalAttention,0.18337440168495178
sub-06,rest,VentralAttention,0.1843489264113223
sub-06,rest,Limbic,6.444515449986506e-06
sub-06,rest,Frontoparietal,0.12342334245393757
sub-06,rest,Default,0.09586340627483744
sub-07,rest,Visual,0.1450609751636405
sub-07,rest,Somatomotor,0.15136249351168957
sub-07,rest,DorsalAttention,0.16525968827507043
sub-07,rest,VentralAttention,0.09592749628801428
sub-07,rest,Limbic,5.648044548780977e-08
sub-07,rest,Frontoparietal,0.07314336879862696
sub-07,rest,Default,0.07677429820672665
sub-08,rest,Visual,0.19086972933005544
sub-08,rest,Somatomotor,0.16205979545480073
sub-08,rest,DorsalAttention,0.1386303024148599
sub-08,rest,VentralAttention,0.21360939113500838
sub-08,rest,Limbic,0.0001152181947226375
sub-08,rest,Frontoparietal,0.14785416724981768
sub-08,rest,Default,0.13247333741208409
sub-09,rest,Visual,0.24785254885445562
sub-09,rest,Somatomotor,0.18680595051955307
sub-09,rest,DorsalAttention,0.17080388245121392
sub-09,rest,VentralAttention,0.28287178985195405
sub-09,rest,Limbic,0.03624027762703712
sub-09,rest,Frontoparietal,0.19416725592955283
sub-09,rest,Default,0.21461930892070807
sub-10,rest,Visual,0.1240004699978563
sub-10,rest,Somatomotor,0.11727938219888978
sub-10,rest,DorsalAttention,0.13627606859824024
sub-10,rest,VentralAttention,0.0853600933491164
sub-10,rest,Limbic,1.0771364954946189e-07
sub-10,rest,Frontoparietal,0.0596102862140941
sub-10,rest,Default,0.06029185688680113
sub-11,rest,Visual,0.12110116896164975
sub-11,rest,Somatomotor,0.15830398704717522
sub-11,rest,DorsalAttention,0.14530283001365474
sub-11,rest,VentralAttention,0.15653088185858352
sub-11,rest,Limbic,1.987518353701945e-06
sub-11,rest,Frontoparietal,0.10673043269173724
sub-11,rest,Default,0.08081206935088704
sub-12,rest,Visual,0.14209095301062458
sub-12,rest,Somatomotor,0.14576956620876852
sub-12,rest,DorsalAttention,0.16110047580919337
sub-12,rest,VentralAttention,0.12986947575168906
sub-12,rest,Limbic,5.926391137156122e-07
sub-12,rest,Frontoparietal,0.0992239740912588
sub-12,rest,Default,0.08773566147208854
sub-13,rest,Visual,0.08916720826196176
sub-13,rest,Somatomotor,0.12076356712159982
sub-13,rest,DorsalAttention,0.11879563914418316
sub-13,rest,VentralAttention,0.16052071115434458
sub-13,rest,Limbic,4.170531872538939e-07
sub-13,rest,Frontoparietal,0.11357616531089479
sub-13,rest,Default,0.08250778034312856
sub-14,rest,Visual,0.18224096505363074
sub-14,rest,Somatomotor,0.14111715397361338
sub-14,rest,DorsalAttention,0.15329897300150272
sub-14,rest,VentralAttention,0.18866053691703216
sub-14,rest,Limbic,0.04411306436480288
sub-14,rest,Frontoparietal,0.12756868008322314
sub-14,rest,Default,0.1512294883518237
sub-15,rest,Visual,0.14654002939921806
sub-15,rest,Somatomotor,0.13952686358883845
sub-15,rest,DorsalAttention,0.14317046431488845
sub-15,rest,VentralAttention,0.09680677273135166
sub-15,rest,Limbic,4.2435036524729316e-05
sub-15,rest,Frontoparietal,0.05974901455672786
sub-15,rest,Default,0.06260125242343248
sub-16,rest,Visual,0.09907234793593085
sub-16,rest,Somatomotor,0.1445875464957494
sub-16,rest,DorsalAttention,0.14499752827285534
sub-16,rest,VentralAttention,0.10934862642218826
sub-16,rest,Limbic,4.898272880899149e-06
sub-16,rest,Frontoparietal,0.09471520140118675
sub-16,rest,Default,0.07548957165478512
sub-17,rest,Visual,0.14004451427627224
sub-17,rest,Somatomotor,0.09996926410103323
sub-17,rest,DorsalAttention,0.07641249053186258
sub-17,rest,VentralAttention,0.17185985053451372
sub-17,rest,Limbic,0.0027708406994251897
sub-17,rest,Frontoparietal,0.08359911470814171
sub-17,rest,Default,0.11087339004687875
sub-18,rest,Visual,0.11867626894215622
sub-18,rest,Somatomotor,0.1168157469363645
sub-18,rest,DorsalAttention,0.11742937536537881
sub-18,rest,VentralAttention,0.12352618165863198
sub-18,rest,Limbic,3.6137369571451585e-06
sub-18,rest,Frontoparietal,0.08013934252031542
sub-18,rest,Default,0.06498165292695943
sub-19,rest,Visual,0.14036348049993655
sub-19,rest,Somatomotor,0.12691101161859766
sub-19,rest,DorsalAttention,0.13128817662876052
sub-19,rest,VentralAttention,0.09324196166765662
sub-19,rest,Limbic,2.1105381026457552e-08
sub-19,rest,Frontoparietal,0.06969150172259128
sub-19,rest,Default,0.06731819071260871
sub-20,rest,Visual,0.12193640804798285
sub-20,rest,Somatomotor,0.12265779878943724
sub-20,rest,DorsalAttention,0.12083275172770773
sub-20,rest,VentralAttention,0.10158130299002537
sub-20,rest,Limbic,1.5454456088186146e-07
sub-20,rest,Frontoparietal,0.06966182021486375
