ROI,N,t,p,diff,cohens_dz,sig
Thal_PuL_L,40,4.7436533784095545,2.802462002460647e-05,0.08060902798733002,0.7500374553063397,True
Thal_PuM_L,40,4.097937935689925,0.00020410598487707833,0.06089292473206302,0.6479408793394387,True
Cingulate_Post_R,40,3.608394937509265,0.0008654524432574696,0.05039950317722064,0.5705373349975111,True
Temporal_Mid_R,40,3.5673317999523437,0.0009739286905920594,0.026094401336872713,0.5640446828698775,True
Thal_PuM_R,40,3.391999281273837,0.0016025770570223816,0.04904245369903265,0.5363221775239727,True
Temporal_Sup_R,40,3.389782295733206,0.0016125932880422197,0.03025275920948396,0.5359716413315699,True
Heschl_L,40,3.1918350922769987,0.0027926211533740755,0.045144673437593055,0.5046734403624515,False
Heschl_R,40,3.0865067676893854,0.003717634790161451,0.052688793488759114,0.4880195699711329,False
Rolandic_Oper_L,40,2.950760749709489,0.005339465579306993,0.031945488070794545,0.4665562399654008,False
Temporal_Mid_L,40,2.9410500535944957,0.005477912251935664,0.024566796803544528,0.4650208440959444,False
Thal_VPL_R,40,2.899250624719271,0.006113146578822424,0.051902225328096685,0.45841177408894845,False
Cingulate_Post_L,40,2.8276438019889754,0.00736392733127701,0.04441534986881938,0.4470897412971659,False
Thal_PuI_R,40,2.814940123850655,0.007609335577528589,0.05836584906483141,0.44508111341822687,False
Thal_VPL_L,40,2.7929508684803857,0.00805219654040915,0.044449949168455564,0.4416043068671698,False
Hippocampus_R,40,2.7690083786984436,0.008561574248904209,0.05381956575215403,0.4378186668388575,False
Temporal_Sup_L,40,2.717133365012482,0.009769462018960347,0.029024339953483285,0.42961650699385534,False
Thal_PuI_L,40,2.71061139333946,0.009932019368582816,0.06277355478534337,0.4285852927277629,False
Frontal_Mid_2_R,40,2.6509319590114067,0.011539975375457133,0.014737835250430131,0.41914914563040845,False
Caudate_R,40,2.632444213566477,0.012084807180840183,0.04867090116726354,0.4162259764100394,False
Frontal_Sup_2_R,40,2.628767488108549,0.012195943711321903,0.018605237388406394,0.41564463507113053,False
Frontal_Sup_Medial_R,40,2.607970185632621,0.012842484071482519,0.02614800100363419,0.41235629282056097,False
Cingulate_Mid_R,40,2.5660211437716636,0.014243383444148125,0.03945887559575189,0.4057235669234422,False
Thal_PuL_R,40,2.563540240902114,0.014330466665433925,0.04457561691187713,0.40533130173737103,False
Thal_LGN_R,40,2.561673051821602,0.014396329042759884,0.05787378837309827,0.40503607322154034,False
Caudate_L,40,2.5499930503528545,0.014814654132971877,0.045534090094698484,0.40318930283577264,False
Thal_AV_L,40,2.4784806724547015,0.017627607781112532,0.05846914912715158,0.3918822030831302,False
Angular_R,40,2.4507899316095414,0.0188416567279059,0.025796445977144013,0.3875039125247221,False
Thal_MDm_L,40,2.44074217085097,0.019300637176215867,0.04851341350839654,0.38591522205564477,False
Fusiform_R,40,2.427537080468858,0.019919271592790794,0.030475756829944578,0.3838273139398519,False
Cingulate_Mid_L,40,2.3142894793092745,0.02600816989768679,0.04034189447698533,0.36592129597912154,False
Occipital_Mid_R,40,2.253888062031298,0.029898032922787848,0.024823003180822804,0.35637099335408884,False
Thal_PuA_L,40,2.244654978405849,0.030536390673341015,0.04042641301684802,0.3549111146499276,False
Thal_MDm_R,40,2.2374548480098704,0.03104260243119624,0.05032288373800022,0.35377267407485247,False
Occipital_Inf_R,40,2.1919326192832744,0.03441970785741542,0.02092413439590174,0.346574977727693,False
Hippocampus_L,40,2.1918962526953587,0.03442253129879433,0.0355638277350434,0.3465692276652658,False
ACC_sup_R,40,2.1198431845764767,0.04043645386158124,0.04583334149507814,0.33517663728231933,False
Thal_MDl_L,40,2.0878189535486587,0.04339423311796603,0.04854470972037182,0.3301131617641523,False
Thal_MGN_L,40,2.075486063038765,0.044582984077033344,0.04350586984851405,0.3281631605569153,False
Rolandic_Oper_R,40,2.0754528703997357,0.04458622160349596,0.02455972331183704,0.3281579123398711,False
Insula_R,40,2.0609568421884807,0.046019963980822504,0.03428898686550678,0.32586588903119,False
Thal_VA_R,40,2.0546885406375255,0.046652324451914765,0.05265122078768634,0.3248747835331008,False
Thal_PuA_R,40,1.9992390769221704,0.052584665394812616,0.03602657684265696,0.31610745351433156,False
Amygdala_R,40,1.9721132321089538,0.05571822449995438,0.04012964725770305,0.31181848086103015,False
Calcarine_R,40,1.9514032905773784,0.058218201309335776,0.03253962593681885,0.3085439515885954,False
Putamen_L,40,1.9371169924962663,0.05999866075301636,0.03188848244707382,0.3062850895251751,False
Lingual_R,40,1.9178364113582056,0.06247575962232053,0.022451526282160787,0.3032365619747774,False
Postcentral_L,40,1.8474402842124973,0.07227911533213568,0.015149996395326937,0.29210595696301506,False
Cerebellum_Crus2_L,40,0.09034351574011329,0.07509256230434447,0.00038855460373356243,0.014284564078301528,False
ParaHippocampal_R,40,1.81361874490475,0.07743670901367095,0.02645120564696507,0.28675830205374525,False
Frontal_Med_Orb_L,40,0.09769056866022276,0.07945690276468431,0.0012401498444988338,0.01544623514416838,False
Precuneus_R,40,1.7942155916217624,0.0805338049036528,0.0185063079488171,0.2836903941455645,False
Thal_VL_R,40,1.7801255281788606,0.08284778367725568,0.034641089368896635,0.2814625595027724,False
Thal_VA_L,40,1.7466497604681122,0.08857060876648504,0.0488072860082462,0.27616957588333807,False
Thal_Re_L,40,1.7460669127267974,0.08867311062335965,0.05699520747730276,0.2760774195637561,False
Lingual_L,40,1.7362063227568452,0.09042233435427582,0.021815346615926174,0.2745183233948531,False
Precentral_L,40,1.732056256737017,0.0911671128630644,0.014961893318704397,0.27386214034171674,False
ACC_sup_L,40,1.7110437629149327,0.09501709346677434,0.040457695459442874,0.2705397733518166,False
Thal_MDl_R,40,1.701106665011174,0.09688439580326681,0.04111966169116332,0.26896858021641845,False
Frontal_Sup_Medial_L,40,1.6985339134795419,0.09737278507061717,0.020006742691571655,0.2685617924817363,False
Occipital_Sup_R,40,1.6972777496065774,0.0976119862379297,0.01962514283490669,0.26836317553408695,False
Insula_L,40,1.696717437348048,0.09771883919598286,0.027151488215569442,0.26827458238719365,False
ParaHippocampal_L,40,1.6921547192134936,0.0985925800652432,0.018335306784215376,0.2675531533058664,False
Rectus_L,40,-0.15649156369871972,0.1235819555408404,-0.0004796327866071354,-0.024743488794463912,False
Cerebellum_7b_L,40,0.15909488149405746,0.12561385224219956,0.0011080729301883503,0.02515510947978968,False
Cerebellum_10_R,40,0.1627679596437968,0.1284808313562813,0.0007631000061886705,0.02573587412863835,False
Cerebellum_3_L,40,0.16726354538569255,0.13198940443359775,0.0032171588488744797,0.02644668864668677,False
Cerebellum_4_5_L,40,0.17136467925964508,0.13518920756061792,0.00238826210828591,0.02709513484823476,False
Parietal_Sup_L,40,-0.17856346575327126,0.14080257253288697,-0.001366624482855509,-0.028233362933690557,False
Parietal_Sup_R,40,0.037968732995086366,0.160962621507034,0.00022100255971437173,0.006003383806762982,False
Cerebellum_7b_R,40,-0.22625835392902477,0.17781810699158085,-0.0010496712961937608,-0.03577458690281127,False
Calcarine_L,40,0.28471594099930264,0.2226317908623957,0.003586009372897678,0.045017542985795654,False
Paracentral_Lobule_L,40,0.29674595865675263,0.23176483644934964,0.003103136866188676,0.04691965579027491,False
Supp_Motor_Area_L,40,0.30472745909203885,0.2378059950607061,0.0031652170962105284,0.04818164181633141,False
Supp_Motor_Area_R,40,-0.3194069525741057,0.24887737135583266,-0.0035307516311301294,-0.050502673531377766,False
Frontal_Med_Orb_R,40,0.3201845451079735,0.24946237877219724,0.004032744409882689,0.05062562170630597,False
Cerebellum_Crus2_R,40,0.33130236477122627,0.25781021790770353,0.0012360538441253083,0.05238350334385021,False
Parietal_Inf_L,40,-0.3327434068421394,0.25888994934345644,-0.0034587870255469626,-0.05261135210126078,False
ACC_sub_L,40,-0.3478077112359163,0.2701451286127522,-0.004443309228592747,-0.054993227763781634,False
Frontal_Inf_Tri_L,40,0.34846151976128903,0.27063227141484214,0.0037556828900552766,0.055096603968472324,False
Cuneus_L,40,-0.3591194289911102,0.2785571847848384,-0.004317383712679609,-0.05678176738155062,False
Occipital_Mid_L,40,0.3732645567086231,0.2890271689182137,0.002914140187363574,0.05901830845061659,False
Frontal_Inf_Orb_2_L,40,0.38589746542312225,0.29833025923153533,0.0035108434880532662,0.061015746701156955,False
Precuneus_L,40,0.3879559149583668,0.29984179085038365,0.00414643129555129,0.06134121615015133,False
Raphe_D,40,0.43262278383043934,0.33232815670297733,0.011774838799883957,0.0684036682293426,False
Cerebellum_8_R,40,0.4353682734887854,0.33430479968892834,0.005021286979693394,0.06883776825998317,False
Temporal_Pole_Mid_R,40,0.46696071992178523,0.3568736605543986,0.0008915850228181334,0.07383297263924024,False
Amygdala_L,40,0.4708622656189577,0.3596378021471277,0.008671119213632018,0.07444986117915497,False
ACC_sub_R,40,-0.4786547752978343,0.36514306945542596,-0.006659300064938828,-0.07568196514286284,False
Cerebellum_6_L,40,0.48675972067405776,0.37084689183926267,0.010373073996072322,0.07696346952786866,False
Rectus_R,40,0.4871027475502377,0.3710877926374814,0.0016156031083149349,0.07701770683923773,False
Red_N_L,40,0.49962642651761807,0.37985464930981505,0.012682452527690027,0.07899787435032109,False
Vermis_3,40,0.5365547907276428,0.40537711563832113,0.008190559346518422,0.08483676140871722,False
Cerebellum_3_R,40,0.5499062913405556,0.41448061909637846,0.009680129260462345,0.08694781901461417,False
VTA_R,40,0.5787062795095692,0.43388522753755876,0.013436836385587103,0.09150149697461343,False
Vermis_1_2,40,-0.5843665673576518,0.43766095315204134,-0.015484970429605944,-0.09239646706521915,False
OFCant_L,40,0.596714433949486,0.44585356830849576,0.000858662600599394,0.09434883619892398,False
Olfactory_L,40,0.6071470766113128,0.4527278571967427,0.00823836597638344,0.0959983818402247,False
OFCant_R,40,0.6109841546094926,0.4552451210374975,0.003628212255816383,0.09660507714192307,False
N_Acc_L,40,0.6139681979215297,0.45719862468325456,0.01315012005639038,0.09707689581705456,False
Cerebellum_8_L,40,0.6262901551863713,0.4652266108974348,0.008807156532109204,0.09902516832646246,False
SN_pc_L,40,0.6337868536084061,0.4700802369594166,0.012524089331521677,0.10021050042371347,False
Cerebellum_9_R,40,0.6503412164551707,0.4807151628772962,0.01148332215789347,0.10282797501414573,False
Cerebellum_4_5_R,40,0.6680380406262647,0.4919562217330271,0.009958314982605767,0.10562608860075466,False
VTA_L,40,0.6701867068568225,0.49331197682458794,0.015302324078273161,0.1059658225617572,False
Cuneus_R,40,0.6826484535576267,0.5011359211854554,0.00967149506760364,0.1079361977216887,False
SN_pr_L,40,0.6880721252344887,0.5045201604493526,0.013949750047832526,0.10879375551068014,False
Cerebellum_9_L,40,0.6959700744556521,0.5094254310575319,0.012923038627160249,0.11004253092984159,False
Occipital_Inf_L,40,0.6988482960143498,0.5112062771892607,0.007441878440362229,0.11049761771664585,False
LC_R,40,0.7338265069765554,0.5325566404077658,0.017646270876099608,0.11602815847256781,False
Vermis_10,40,0.7367721447126935,0.5343298024761087,0.01818480184277536,0.11649390469296474,False
OFCmed_R,40,0.761664892196221,0.5491583803591376,0.0028888098913003994,0.12042979365633333,False
SupraMarginal_R,40,0.7654646081216631,0.5513971975801355,0.007520387602598852,0.1210305814956339,False
Occipital_Sup_L,40,-0.7718713756407416,0.5551572216712912,-0.00667213515285626,-0.12204358038560763,False
Cerebellum_10_L,40,0.7720011551070304,0.555233193632102,0.007710107471969397,0.1220641003209573,False
Frontal_Inf_Oper_L,40,0.013885904967141753,0.5597870259723001,0.00013361691996669617,0.002195554353440675,False
Vermis_6,40,0.7858778314558764,0.5633120399482674,0.017608925307473194,0.12425819550172443,False
Thal_LP_R,40,0.7942890418446806,0.5681659252188829,0.018507083874714465,0.12558812463709904,False
Vermis_9,40,0.8070039996817604,0.5754414257369596,0.017350457962915667,0.12759853599300802,False
Vermis_7,40,0.8135168120967449,0.5791390643777496,0.015504734971000167,0.12862830205324666,False
N_Acc_R,40,0.8228558932376322,0.5844069130082994,0.017995462502089866,0.13010494043616308,False
Red_N_R,40,0.8450459547689678,0.5967602653212307,0.02383148857235731,0.13361349722907828,False
Paracentral_Lobule_R,40,0.874166737050154,0.612621111448151,0.008268755195903412,0.1382178971917994,False
Vermis_8,40,0.8952499502805586,0.6238541418842388,0.017007315348440778,0.14155144590195315,False
Precentral_R,40,0.9150157788844817,0.6341935988683101,0.006636903609837994,0.1446766978133983,False
ACC_pre_L,40,0.9182645051047846,0.6358752081878215,0.028056047120647177,0.14519036653092166,False
Frontal_Inf_Orb_2_R,40,0.9481088496258603,0.6510877623645097,0.007847870797301551,0.14990917172898996,False
SN_pc_R,40,0.9577975739477672,0.6559349489886284,0.022405802577553462,0.15144109355292476,False
SN_pr_R,40,0.9723478950918973,0.6631300659942365,0.02264638787200643,0.15374170132804268,False
Parietal_Inf_R,40,0.9786182649020493,0.6661995495374731,0.009149716311581886,0.15473313384662457,False
Postcentral_R,40,0.9829219002757003,0.6682953952199614,0.0071130107957961975,0.1554135983466049,False
Thal_LP_L,40,0.9862448511793098,0.6699075953683682,0.018028678343061523,0.15593900301702096,False
OFClat_L,40,-0.9910947164674394,0.6722511365056236,-0.002456507357683502,-0.15670583404979485,False
Temporal_Pole_Mid_L,40,1.0292315039487399,0.6902879424515821,0.001499553249817094,0.16273578960393015,False
Frontal_Inf_Tri_R,40,1.0613251341563759,0.7049293966240826,0.008263046533333953,0.1678102380958958,False
OFCpost_L,40,1.1296286262061568,0.7344670969785991,0.0040222312841448615,0.17860996844692129,False
Thal_Re_R,40,1.1324819877839645,0.7356533303336084,0.037325088912475615,0.17906112452561548,False
Temporal_Pole_Sup_L,40,1.1527917043807607,0.7439871328303609,0.0070404982460820055,0.18227237267953547,False
Frontal_Inf_Oper_R,40,1.1686845597054127,0.7503750602177871,0.010036432071279931,0.18478525374700722,False
Thal_MGN_R,40,1.17480601600441,0.7528043871577129,0.031244355606116957,0.18575314097210804,False
Cerebellum_Crus1_L,40,1.1970712642889465,0.7614953159112141,0.010673516964850863,0.18927358583452264,False
Cerebellum_6_R,40,1.203382103373123,0.7639174391010635,0.02457263523645508,0.1902714171071631,False
Putamen_R,40,1.2471233498306837,0.7802100786285548,0.02274918859635997,0.1971875154321963,False
Frontal_Mid_2_L,40,1.2861705552978262,0.7940328675515205,0.008565971103058543,0.20336142070923374,False
Temporal_Pole_Sup_R,40,1.3051222185462317,0.8005007090800865,0.0062915877723429044,0.20635794177490704,False
OFClat_R,40,1.308303924617448,0.801571292055917,0.000879398883446586,0.20686101367641851,False
Thal_IL_R,40,1.3121690677395346,0.8028659609466361,0.029975807120029646,0.20747214646383494,False
LC_L,40,1.3293806710023555,0.8085532552001653,0.031886814560136034,0.2101935398885199,False
Frontal_Sup_2_L,40,1.332603377341399,0.8096040724388007,0.009638022370870523,0.21070309450158195,False
Temporal_Inf_L,40,1.340556833764157,0.8121785437517663,0.010557243690734673,0.21196064637992246,False
Raphe_M,40,1.3529502240785585,0.8161368747428844,0.040918073905777425,0.2139202134461714,False
Thal_LGN_L,40,1.3735469864178935,0.8225728936374903,0.03402433522945432,0.21717684751704525,False
Olfactory_R,40,1.3895776382266136,0.8274604015846919,0.020481853884619705,0.21971151612167789,False
Pallidum_R,40,1.392684438091599,0.8283954067572548,0.03167901496679377,0.22020274431206077,False
Vermis_4_5,40,1.432775109682161,0.8401101582362813,0.01806836257169057,0.22654163606965985,False
Fusiform_L,40,1.4653132814017245,0.8491483987339365,0.02095272435316472,0.23168637274623474,False
Cerebellum_Crus1_R,40,1.4850495972952351,0.8544304923256127,0.011222914320339367,0.23480695828843848,False
ACC_pre_R,40,1.498800941027239,0.8580230804818112,0.0392509638438146,0.23698123664248913,False
SupraMarginal_L,40,1.5274486409700083,0.865280047680126,0.018597197491843624,0.24151083571970042,False
Thal_IL_L,40,1.553833245032307,0.8716973934132508,0.03922785438095676,0.24568260791963017,False
Thal_AV_R,40,1.5557097048623025,0.8721442305359027,0.03819692115394756,0.2459793022696601,False
OFCpost_R,40,1.560136859602933,0.8731934778949538,0.010969432745862614,0.2466792968963803,False
Temporal_Inf_R,40,1.5698155179514597,0.8754630995949526,0.008170783852021071,0.24820962715017772,False
OFCmed_L,40,1.5737070511651066,0.8763663292655082,0.0020435133465471532,0.24882493257744365,False
Pallidum_L,40,1.5888279409847057,0.8798256029557171,0.03980534579243027,0.2512157551813629,False
Angular_L,40,1.6149639368252902,0.8856189180260102,0.02161915324873401,0.25534821897000964,False
Thal_VL_L,40,1.6601530684103951,0.8950955874109301,0.036192118965594676,0.26249324803470897,False
