ROI,Weights,Atlas,Task
Precentral_L,0.001620804226404947,aal,rest
Precentral_R,-0.019531015127482315,aal,rest
Frontal_Sup_2_L,0.00797871313592271,aal,rest
Frontal_Sup_2_R,-0.001703948445610329,aal,rest
Frontal_Mid_2_L,0.004401435796171826,aal,rest
Frontal_Mid_2_R,-0.004539548933549307,aal,rest
Frontal_Inf_Oper_L,-0.011425053303869058,aal,rest
Frontal_Inf_Oper_R,-0.015847530709348467,aal,rest
Frontal_Inf_Tri_L,-0.012713094257395283,aal,rest
Frontal_Inf_Tri_R,-0.010214485867651252,aal,rest
Frontal_Inf_Orb_2_L,-0.013613993982571472,aal,rest
Frontal_Inf_Orb_2_R,-0.007450396436905215,aal,rest
Rolandic_Oper_L,-0.013907561350190882,aal,rest
Rolandic_Oper_R,-0.012659849654375326,aal,rest
Supp_Motor_Area_L,-0.02828564127728896,aal,rest
Supp_Motor_Area_R,-0.027227361558135838,aal,rest
Olfactory_L,-0.0016549904579844998,aal,rest
Olfactory_R,-0.004111823888330453,aal,rest
Frontal_Sup_Medial_L,0.009234543407214345,aal,rest
Frontal_Sup_Medial_R,0.00506245882603368,aal,rest
Frontal_Med_Orb_L,0.014327185799382292,aal,rest
Frontal_Med_Orb_R,0.012453380802404917,aal,rest
Rectus_L,-0.0011634418322529825,aal,rest
Rectus_R,0.0017303559065538249,aal,rest
OFCmed_L,-0.0012880683158048665,aal,rest
OFCmed_R,-0.004570918213517563,aal,rest
OFCant_L,-0.0058223598564925,aal,rest
OFCant_R,-0.008585025556503466,aal,rest
OFCpost_L,-0.004906354049841979,aal,rest
OFCpost_R,-0.00038439401075676465,aal,rest
OFClat_L,-0.004023537082376067,aal,rest
OFClat_R,-0.0007474346644367542,aal,rest
Insula_L,-0.007960496628363485,aal,rest
Insula_R,-0.0070196805420645525,aal,rest
Cingulate_Mid_L,0.003418982290635669,aal,rest
Cingulate_Mid_R,-0.006701722470965345,aal,rest
Cingulate_Post_L,0.04107654863565629,aal,rest
Cingulate_Post_R,0.03276183893908122,aal,rest
Hippocampus_L,0.011973282278060843,aal,rest
Hippocampus_R,0.0019468225729544447,aal,rest
ParaHippocampal_L,0.00809104665659227,aal,rest
ParaHippocampal_R,0.0009295086225321877,aal,rest
Amygdala_L,-0.001565287761173047,aal,rest
Amygdala_R,-0.00579568374400608,aal,rest
Calcarine_L,-0.033061505865762224,aal,rest
Calcarine_R,-0.013129522040762747,aal,rest
Cuneus_L,-0.023719533811408466,aal,rest
Cuneus_R,-0.03161818939246683,aal,rest
Lingual_L,-0.00993926398661676,aal,rest
Lingual_R,0.0027883271503116353,aal,rest
Occipital_Sup_L,-0.014971800383063451,aal,rest
Occipital_Sup_R,-0.009589867071234203,aal,rest
Occipital_Mid_L,0.0032435380154015665,aal,rest
Occipital_Mid_R,-5.933243365027225e-06,aal,rest
Occipital_Inf_L,-0.007300417916538909,aal,rest
Occipital_Inf_R,-0.0042868096899008785,aal,rest
Fusiform_L,0.004067298042529386,aal,rest
Fusiform_R,0.0041868409314998285,aal,rest
Postcentral_L,-0.0037919188198265227,aal,rest
Postcentral_R,-0.015659447232822418,aal,rest
Parietal_Sup_L,0.0027202709892707984,aal,rest
Parietal_Sup_R,-0.004368209409018775,aal,rest
Parietal_Inf_L,0.003106724887033117,aal,rest
Parietal_Inf_R,-0.010732988180995608,aal,rest
SupraMarginal_L,-0.013956110831201645,aal,rest
SupraMarginal_R,-0.008445857098485806,aal,rest
Angular_L,0.012975230411471014,aal,rest
Angular_R,0.005234646547782779,aal,rest
Precuneus_L,-0.0007856796451662891,aal,rest
Precuneus_R,-0.002577782665798869,aal,rest
Paracentral_Lobule_L,-0.010604682704484333,aal,rest
Paracentral_Lobule_R,0.005100728518767401,aal,rest
Caudate_L,0.03992995202857599,aal,rest
Caudate_R,0.03820507817206708,aal,rest
Putamen_L,0.005098294026417394,aal,rest
Putamen_R,-0.01357978096119045,aal,rest
Pallidum_L,0.005375393918768899,aal,rest
Pallidum_R,-0.019543511128118418,aal,rest
Heschl_L,-0.015478787442627638,aal,rest
Heschl_R,-0.006596892648353278,aal,rest
Temporal_Sup_L,-0.012441494145854904,aal,rest
Temporal_Sup_R,-0.011544158169435794,aal,rest
Temporal_Pole_Sup_L,0.0008584312555228514,aal,rest
Temporal_Pole_Sup_R,0.0002064903820689388,aal,rest
Temporal_Mid_L,0.0041951443292686085,aal,rest
Temporal_Mid_R,-0.005760045434548048,aal,rest
Temporal_Pole_Mid_L,0.0005663116634146139,aal,rest
Temporal_Pole_Mid_R,-0.0002889131709696999,aal,rest
Temporal_Inf_L,-0.00024013314511742593,aal,rest
Temporal_Inf_R,-0.00044383002089910497,aal,rest
Cerebellum_Crus1_L,0.0008867410410470499,aal,rest
Cerebellum_Crus1_R,0.0031264167606669235,aal,rest
Cerebellum_Crus2_L,0.0009080685798074632,aal,rest
Cerebellum_Crus2_R,0.0016486127440368667,aal,rest
Cerebellum_3_L,0.07317685081093427,aal,rest
Cerebellum_3_R,0.0268046890615706,aal,rest
Cerebellum_4_5_L,0.03870761549064158,aal,rest
Cerebellum_4_5_R,0.02637539267964474,aal,rest
Cerebellum_6_L,0.02587746014998692,aal,rest
Cerebellum_6_R,0.01701325810457866,aal,rest
Cerebellum_7b_L,-0.0016678690197667663,aal,rest
Cerebellum_7b_R,0.004304647341015968,aal,rest
Cerebellum_8_L,0.0005634590633767459,aal,rest
Cerebellum_8_R,0.003151260655027149,aal,rest
Cerebellum_9_L,0.005823428666836941,aal,rest
Cerebellum_9_R,-0.003908541009963122,aal,rest
Cerebellum_10_L,0.0034435570841367274,aal,rest
Cerebellum_10_R,-0.0002515734387918155,aal,rest
Vermis_1_2,0.07816218645709196,aal,rest
Vermis_3,0.07032978033156775,aal,rest
Vermis_4_5,0.08215044646340032,aal,rest
Vermis_6,0.0456208978147441,aal,rest
