ROI,Weights,Atlas,Task
Precentral_L,-0.016913878762752237,aal,fe
Precentral_R,-0.004370890766494778,aal,fe
Frontal_Sup_2_L,-0.018731637721200477,aal,fe
Frontal_Sup_2_R,-0.02547628531062365,aal,fe
Frontal_Mid_2_L,-0.01264060075660699,aal,fe
Frontal_Mid_2_R,-0.013038903106213197,aal,fe
Frontal_Inf_Oper_L,0.0013028192850149717,aal,fe
Frontal_Inf_Oper_R,-0.007989022969957783,aal,fe
Frontal_Inf_Tri_L,0.0012676407925149905,aal,fe
Frontal_Inf_Tri_R,-0.00028383850156759715,aal,fe
Frontal_Inf_Orb_2_L,0.0031540612673589207,aal,fe
Frontal_Inf_Orb_2_R,-0.007364730461007572,aal,fe
Rolandic_Oper_L,0.02095651285491618,aal,fe
Rolandic_Oper_R,0.02762906746814841,aal,fe
Supp_Motor_Area_L,-0.025257611835697354,aal,fe
Supp_Motor_Area_R,-0.03051504488398832,aal,fe
Olfactory_L,-0.01735992583018689,aal,fe
Olfactory_R,-0.01823506474321602,aal,fe
Frontal_Sup_Medial_L,-0.036237540420005994,aal,fe
Frontal_Sup_Medial_R,-0.02949616986509918,aal,fe
Frontal_Med_Orb_L,-0.0024462640054328175,aal,fe
Frontal_Med_Orb_R,-0.0010928046185580396,aal,fe
Rectus_L,0.0013436593550503841,aal,fe
Rectus_R,0.0028631655720421853,aal,fe
OFCmed_L,0.0022017219401197345,aal,fe
OFCmed_R,-0.0009636468300548353,aal,fe
OFCant_L,0.0038214643874225056,aal,fe
OFCant_R,0.0032986948406207757,aal,fe
OFCpost_L,-0.0022821655834647635,aal,fe
OFCpost_R,-0.0011044761210838646,aal,fe
OFClat_L,-0.0011110028256123695,aal,fe
OFClat_R,0.0007428520133162044,aal,fe
Insula_L,-0.0019586664756700636,aal,fe
Insula_R,-0.002658917131116526,aal,fe
Cingulate_Mid_L,-0.06659670449995635,aal,fe
Cingulate_Mid_R,-0.042386631144609235,aal,fe
Cingulate_Post_L,-0.023633959043364794,aal,fe
Cingulate_Post_R,-0.0029954739414808584,aal,fe
Hippocampus_L,0.0014153815643337287,aal,fe
Hippocampus_R,0.005670391858017317,aal,fe
ParaHippocampal_L,0.008508513614270019,aal,fe
ParaHippocampal_R,0.012423977882700181,aal,fe
Amygdala_L,-0.01193213488612757,aal,fe
Amygdala_R,-0.0077046130905577175,aal,fe
Calcarine_L,0.052276208144901706,aal,fe
Calcarine_R,0.060948061225152325,aal,fe
Cuneus_L,0.0306224497536961,aal,fe
Cuneus_R,0.05094183676008622,aal,fe
Lingual_L,0.015096738537789603,aal,fe
Lingual_R,0.013267167286785718,aal,fe
Occipital_Sup_L,0.030177358308957295,aal,fe
