Atlas,ROI,Weights
schaefer,Background,-0.055362243068543975
schaefer,7Networks_LH_Vis_1,-0.07125668825753725
schaefer,7Networks_LH_Vis_2,0.10071777406759981
schaefer,7Networks_LH_Vis_3,-0.03987568011246111
schaefer,7Networks_LH_Vis_4,-0.0013316166327562305
schaefer,7Networks_LH_Vis_5,-0.0023619317315441896
schaefer,7Networks_LH_Vis_6,0.314171669097179
schaefer,7Networks_LH_Vis_7,-0.0673473510370801
schaefer,7Networks_LH_Vis_8,-0.021141820094908326
schaefer,7Networks_LH_Vis_9,0.0897082882913024
schaefer,7Networks_LH_Vis_10,0.048251121517160434
schaefer,7Networks_LH_Vis_11,3.2452692579400853e-06
schaefer,7Networks_LH_Vis_12,0.37185268127555104
schaefer,7Networks_LH_Vis_13,0.0004909080643511305
schaefer,7Networks_LH_Vis_14,-0.002123307058298437
schaefer,7Networks_LH_Vis_15,0.08045265467155763
schaefer,7Networks_LH_Vis_16,-0.12716736600000714
schaefer,7Networks_LH_Vis_17,0.08301274458533722
schaefer,7Networks_LH_Vis_18,0.011675312741211067
schaefer,7Networks_LH_Vis_19,0.015416726631034787
schaefer,7Networks_LH_Vis_20,0.35640838856591733
schaefer,7Networks_LH_Vis_21,0.3103014571030011
schaefer,7Networks_LH_Vis_22,0.004487913119794004
schaefer,7Networks_LH_Vis_23,0.003538511825904926
schaefer,7Networks_LH_Vis_24,-0.025765364744748602
schaefer,7Networks_LH_Vis_25,0.2025981185107001
schaefer,7Networks_LH_Vis_26,0.05071122814966988
schaefer,7Networks_LH_Vis_27,0.05634749242680675
schaefer,7Networks_LH_Vis_28,-5.715132690243053e-05
schaefer,7Networks_LH_Vis_29,-0.013928050788468682
schaefer,7Networks_LH_Vis_30,-0.0007311370353832394
schaefer,7Networks_LH_Vis_31,-0.02830562095305697
schaefer,7Networks_LH_SomMot_1,-0.037517010111763255
schaefer,7Networks_LH_SomMot_2,-0.0600081308411792
schaefer,7Networks_LH_SomMot_3,-0.4550637135598735
schaefer,7Networks_LH_SomMot_4,-0.17954648959417935
schaefer,7Networks_LH_SomMot_5,-0.041211462808973545
schaefer,7Networks_LH_SomMot_6,-0.08066007513134267
schaefer,7Networks_LH_SomMot_7,-0.15211385195888774
schaefer,7Networks_LH_SomMot_8,0.004160488699324497
schaefer,7Networks_LH_SomMot_9,-0.2364356642109879
schaefer,7Networks_LH_SomMot_10,-0.13600558856502767
schaefer,7Networks_LH_SomMot_11,-0.006278761864208526
schaefer,7Networks_LH_SomMot_12,0.001978039836578876
schaefer,7Networks_LH_SomMot_13,-0.10199292310068102
schaefer,7Networks_LH_SomMot_14,-0.1554159647410696
schaefer,7Networks_LH_SomMot_15,0.11364296689862385
schaefer,7Networks_LH_SomMot_16,-0.09245266580329738
schaefer,7Networks_LH_SomMot_17,-0.3128818748108808
schaefer,7Networks_LH_SomMot_18,0.1727167595091316
schaefer,7Networks_LH_SomMot_19,0.045084968521093415
schaefer,7Networks_LH_SomMot_20,0.003726277388261809
schaefer,7Networks_LH_SomMot_21,0.05536025679856539
schaefer,7Networks_LH_SomMot_22,-0.3741912460359542
schaefer,7Networks_LH_SomMot_23,-0.38644463959733183
schaefer,7Networks_LH_SomMot_24,0.04342252968897495
schaefer,7Networks_LH_SomMot_25,0.02817289463766291
schaefer,7Networks_LH_SomMot_26,-0.03311094586728736
schaefer,7Networks_LH_SomMot_27,0.016212227559607884
schaefer,7Networks_LH_SomMot_28,0.04858697310382618
schaefer,7Networks_LH_SomMot_29,-0.036330959953495105
schaefer,7Networks_LH_SomMot_30,-0.21724952411216994
schaefer,7Networks_LH_SomMot_31,-0.04666581225778795
schaefer,7Networks_LH_SomMot_32,-0.01961863449995972
schaefer,7Networks_LH_SomMot_33,-0.001524244060827578
schaefer,7Networks_LH_SomMot_34,-0.14616284555191617
schaefer,7Networks_LH_SomMot_35,-0.031225335025430047
schaefer,7Networks_LH_SomMot_36,-0.015423205632292334
schaefer,7Networks_LH_SomMot_37,-0.04080449843789489
schaefer,7Networks_LH_DorsAttn_Post_1,0.035151085836891416
schaefer,7Networks_LH_DorsAttn_Post_2,-0.027665159935894034
schaefer,7Networks_LH_DorsAttn_Post_3,-0.1666271880993944
schaefer,7Networks_LH_DorsAttn_Post_4,0.015735139990744145
schaefer,7Networks_LH_DorsAttn_Post_5,-0.19446477125279377
schaefer,7Networks_LH_DorsAttn_Post_6,-0.3196419741253485
schaefer,7Networks_LH_DorsAttn_Post_7,-0.2983828384071016
schaefer,7Networks_LH_DorsAttn_Post_8,-0.10357600375987115
schaefer,7Networks_LH_DorsAttn_Post_9,-0.3690343748760053
schaefer,7Networks_LH_DorsAttn_Post_10,0.08364063038400338
schaefer,7Networks_LH_DorsAttn_Post_11,-0.12426137895448211
schaefer,7Networks_LH_DorsAttn_Post_12,0.008911588391452214
schaefer,7Networks_LH_DorsAttn_Post_13,-0.005571464312127388
schaefer,7Networks_LH_DorsAttn_Post_14,0.020011873411595535
schaefer,7Networks_LH_DorsAttn_Post_15,-0.012300343560508626
schaefer,7Networks_LH_DorsAttn_Post_16,-0.00018862205856155767
schaefer,7Networks_LH_DorsAttn_Post_17,0.1231944712432622
schaefer,7Networks_LH_DorsAttn_FEF_1,0.14642427463471605
schaefer,7Networks_LH_DorsAttn_FEF_2,0.1792809584089007
schaefer,7Networks_LH_DorsAttn_FEF_3,0.17857537528219908
schaefer,7Networks_LH_DorsAttn_FEF_4,-0.23599724820355492
schaefer,7Networks_LH_DorsAttn_PrCv_1,0.09622793671606934
schaefer,7Networks_LH_DorsAttn_PrCv_2,-0.17816052540980437
schaefer,7Networks_LH_SalVentAttn_ParOper_1,-0.21197972981031593
